RESOLVED	spine-unity	Spine.TrackEntry	OnStart	Spine.AnimationState+TrackEntryDelegate	TypeAnalysisContext	28	0	INSTANCE_FIELD	CLASS_OBJECT_RELATIVE	System.Delegate	method	System.IntPtr	INSTANCE	-	DIRECT
RESOLVED	spine-unity	Spine.MeshAttachment	get_RegionU	Spine.MeshAttachment	TypeAnalysisContext	A0	0	THIS	CLASS_OBJECT_RELATIVE	Spine.MeshAttachment	<RegionU>k__BackingField	System.Single	INSTANCE	-	DIRECT
RESOLVED	spine-unity	Spine.MeshAttachment	get_RegionV	Spine.MeshAttachment	TypeAnalysisContext	A4	0	THIS	CLASS_OBJECT_RELATIVE	Spine.MeshAttachment	<RegionV>k__BackingField	System.Single	INSTANCE	-	DIRECT
RESOLVED	spine-unity	Spine.MeshAttachment	get_RegionU2	Spine.MeshAttachment	TypeAnalysisContext	A8	0	THIS	CLASS_OBJECT_RELATIVE	Spine.MeshAttachment	<RegionU2>k__BackingField	System.Single	INSTANCE	-	DIRECT
RESOLVED	spine-unity	Spine.TrackEntry	OnInterrupt	Spine.TrackEntry	TypeAnalysisContext	38	0	THIS	CLASS_OBJECT_RELATIVE	Spine.TrackEntry	Interrupt	Spine.AnimationState+TrackEntryDelegate	INSTANCE	-	DIRECT
RESOLVED	spine-unity	Spine.TrackEntry	OnInterrupt	Spine.TrackEntry	TypeAnalysisContext	38	0	THIS	CLASS_OBJECT_RELATIVE	Spine.TrackEntry	Interrupt	Spine.AnimationState+TrackEntryDelegate	INSTANCE	-	DIRECT
RESOLVED	spine-unity	Spine.TrackEntry	OnInterrupt	Spine.AnimationState+TrackEntryDelegate	TypeAnalysisContext	18	0	INSTANCE_FIELD	CLASS_OBJECT_RELATIVE	System.Delegate	invoke_impl	System.IntPtr	INSTANCE	-	DIRECT
RESOLVED	spine-unity	Spine.MeshAttachment	get_RegionV2	Spine.MeshAttachment	TypeAnalysisContext	AC	0	THIS	CLASS_OBJECT_RELATIVE	Spine.MeshAttachment	<RegionV2>k__BackingField	System.Single	INSTANCE	-	DIRECT
RESOLVED	spine-unity	Spine.TrackEntry	OnInterrupt	Spine.AnimationState+TrackEntryDelegate	TypeAnalysisContext	40	0	INSTANCE_FIELD	CLASS_OBJECT_RELATIVE	System.Delegate	method_code	System.IntPtr	INSTANCE	-	DIRECT
RESOLVED	spine-unity	Spine.TrackEntry	OnInterrupt	Spine.AnimationState+TrackEntryDelegate	TypeAnalysisContext	28	0	INSTANCE_FIELD	CLASS_OBJECT_RELATIVE	System.Delegate	method	System.IntPtr	INSTANCE	-	DIRECT
RESOLVED	spine-unity	Spine.MeshAttachment	get_RegionRotate	Spine.MeshAttachment	TypeAnalysisContext	B0	0	THIS	CLASS_OBJECT_RELATIVE	Spine.MeshAttachment	<RegionRotate>k__BackingField	System.Boolean	INSTANCE	-	DIRECT
RESOLVED	spine-unity	Spine.MeshAttachment	get_RegionDegrees	Spine.MeshAttachment	TypeAnalysisContext	B4	0	THIS	CLASS_OBJECT_RELATIVE	Spine.MeshAttachment	<RegionDegrees>k__BackingField	System.Int32	INSTANCE	-	DIRECT
RESOLVED	spine-unity	Spine.TrackEntry	OnEnd	Spine.TrackEntry	TypeAnalysisContext	40	0	THIS	CLASS_OBJECT_RELATIVE	Spine.TrackEntry	End	Spine.AnimationState+TrackEntryDelegate	INSTANCE	-	DIRECT
RESOLVED	spine-unity	Spine.TrackEntry	OnEnd	Spine.TrackEntry	TypeAnalysisContext	40	0	THIS	CLASS_OBJECT_RELATIVE	Spine.TrackEntry	End	Spine.AnimationState+TrackEntryDelegate	INSTANCE	-	DIRECT
RESOLVED	spine-unity	Spine.TrackEntry	OnEnd	Spine.AnimationState+TrackEntryDelegate	TypeAnalysisContext	18	0	INSTANCE_FIELD	CLASS_OBJECT_RELATIVE	System.Delegate	invoke_impl	System.IntPtr	INSTANCE	-	DIRECT
RESOLVED	spine-unity	Spine.TrackEntry	OnEnd	Spine.AnimationState+TrackEntryDelegate	TypeAnalysisContext	40	0	INSTANCE_FIELD	CLASS_OBJECT_RELATIVE	System.Delegate	method_code	System.IntPtr	INSTANCE	-	DIRECT
RESOLVED	spine-unity	Spine.TrackEntry	OnEnd	Spine.AnimationState+TrackEntryDelegate	TypeAnalysisContext	28	0	INSTANCE_FIELD	CLASS_OBJECT_RELATIVE	System.Delegate	method	System.IntPtr	INSTANCE	-	DIRECT
