spine-unity	UnitySourceGeneratedAssemblyMonoScriptTypes_v1	Get	UnitySourceGeneratedAssemblyMonoScriptTypes_v1+MonoScriptData	TypeAnalysisContext	19	VALUE	FilePathsData@0,TypesData@8,TotalTypes@10,TotalFiles@14,IsEditorOnly@18
spine-unity	UnitySourceGeneratedAssemblyMonoScriptTypes_v1	Get	UnitySourceGeneratedAssemblyMonoScriptTypes_v1+MonoScriptData	TypeAnalysisContext	1C	VALUE	FilePathsData@0,TypesData@8,TotalTypes@10,TotalFiles@14,IsEditorOnly@18
spine-unity	UnitySourceGeneratedAssemblyMonoScriptTypes_v1	Get	UnitySourceGeneratedAssemblyMonoScriptTypes_v1+MonoScriptData	TypeAnalysisContext	19	VALUE	FilePathsData@0,TypesData@8,TotalTypes@10,TotalFiles@14,IsEditorOnly@18
spine-unity	UnitySourceGeneratedAssemblyMonoScriptTypes_v1	Get	UnitySourceGeneratedAssemblyMonoScriptTypes_v1+MonoScriptData	TypeAnalysisContext	1C	VALUE	FilePathsData@0,TypesData@8,TotalTypes@10,TotalFiles@14,IsEditorOnly@18
spine-unity	UnitySourceGeneratedAssemblyMonoScriptTypes_v1	Get	UnitySourceGeneratedAssemblyMonoScriptTypes_v1+MonoScriptData	TypeAnalysisContext	19	VALUE	FilePathsData@0,TypesData@8,TotalTypes@10,TotalFiles@14,IsEditorOnly@18
spine-unity	UnitySourceGeneratedAssemblyMonoScriptTypes_v1	Get	UnitySourceGeneratedAssemblyMonoScriptTypes_v1+MonoScriptData	TypeAnalysisContext	1C	VALUE	FilePathsData@0,TypesData@8,TotalTypes@10,TotalFiles@14,IsEditorOnly@18
spine-unity	Spine.AnimationState+TrackEntryDelegate	.ctor	System.IntPtr	TypeAnalysisContext	8	VALUE	m_value@0
spine-unity	Spine.AnimationState+TrackEntryDelegate	.ctor	System.IntPtr	TypeAnalysisContext	52	VALUE	m_value@0
spine-unity	Spine.AnimationState+TrackEntryDelegate	.ctor	System.IntPtr	TypeAnalysisContext	8	VALUE	m_value@0
spine-unity	Spine.AnimationState+TrackEntryDelegate	.ctor	System.IntPtr	TypeAnalysisContext	52	VALUE	m_value@0
spine-unity	Spine.AnimationState+TrackEntryDelegate	.ctor	System.IntPtr	TypeAnalysisContext	8	VALUE	m_value@0
spine-unity	Spine.AnimationState+TrackEntryDelegate	.ctor	System.IntPtr	TypeAnalysisContext	52	VALUE	m_value@0
spine-unity	Spine.AnimationState+TrackEntryDelegate	.ctor	System.IntPtr	TypeAnalysisContext	8	VALUE	m_value@0
spine-unity	Spine.AnimationState+TrackEntryDelegate	.ctor	System.IntPtr	TypeAnalysisContext	52	VALUE	m_value@0
spine-unity	Spine.AnimationState+TrackEntryDelegate	.ctor	System.IntPtr	TypeAnalysisContext	8	VALUE	m_value@0
spine-unity	Spine.AnimationState+TrackEntryDelegate	.ctor	System.IntPtr	TypeAnalysisContext	52	VALUE	m_value@0
spine-unity	Spine.AnimationState+TrackEntryEventDelegate	.ctor	System.IntPtr	TypeAnalysisContext	8	VALUE	m_value@0
spine-unity	Spine.AnimationState+TrackEntryEventDelegate	.ctor	System.IntPtr	TypeAnalysisContext	52	VALUE	m_value@0
spine-unity	Spine.AnimationState+TrackEntryEventDelegate	.ctor	System.IntPtr	TypeAnalysisContext	8	VALUE	m_value@0
