Il2CppClass.interface_offsets_count	spine-unity	Spine.ExposedList`1	AddCollection	Il2CppClass<System.Collections.Generic.ICollection`1<T>>		RuntimeClassTypeAnalysisContext	12E	0	0	0	Move:memory	[v230 @ X8_v13 (Il2CppClass<System.Collections.Generic.ICollection`1<T>>)+12E]
past the last field of the base type	spine-unity	Spine.DeformTimeline	Apply	Spine.Attachment	System.Object	TypeAnalysisContext	20	10	1	0	Move:field Attachment	[v150 @ X24_v5 (Spine.Attachment)+20]
Il2CppClass.interface_offsets_count	spine-unity	Spine.ExposedList`1	AddCollection	Il2CppClass<System.Collections.Generic.ICollection`1<T>>		RuntimeClassTypeAnalysisContext	12E	0	0	0	Move:memory	[v230 @ X8_v13 (Il2CppClass<System.Collections.Generic.ICollection`1<T>>)+12E]
base has no type, from Add of an untyped local and Immediate	spine-unity	Spine.ExposedList`1	AddCollection	<untyped>			FFFFFFFFFFFFFFF8	0	0	0	Add	[v272 @ X10_v7-8]
base has no type, from Add of the field Single[] and Immediate	spine-unity	Spine.DeformTimeline	Apply	<untyped>			0	0	0	0	Add	[v680 @ X10_v16+v795 @ X8_v43 (System.Int32)*4]
base has no type, from Add of ArrayAccess and Immediate	spine-unity	Spine.DeformTimeline	Apply	<untyped>			0	0	0	0	Add	[v235 @ X11_v14+v795 @ X8_v43 (System.Int32)*4]
past the last field of the base type	spine-unity	Spine.DeformTimeline	Apply	Spine.Attachment	System.Object	TypeAnalysisContext	20	10	1	0	Move:field Attachment	[v150 @ X24_v5 (Spine.Attachment)+20]
base has no type, from Add of the field Single[] and Immediate	spine-unity	Spine.DeformTimeline	Apply	<untyped>			0	0	0	0	Add	[v236 @ X11_v19+v797 @ X8_v65 (System.Int32)*4]
past the last field of the base type	spine-unity	Spine.DeformTimeline	Apply	Spine.Attachment	System.Object	TypeAnalysisContext	20	10	1	0	Move:field Attachment	[v150 @ X24_v5 (Spine.Attachment)+20]
base has no type, from Add of ArrayAccess and Immediate	spine-unity	Spine.DeformTimeline	Apply	<untyped>			0	0	0	0	Add	[v237 @ X11_v12+v799 @ X8_v36 (System.Int32)*4]
base has no type, from Add of the field Single[] and Immediate	spine-unity	Spine.DeformTimeline	Apply	<untyped>			0	0	0	0	Add	[v682 @ X10_v14+v799 @ X8_v36 (System.Int32)*4]
past the last field of the base type	spine-unity	Spine.DeformTimeline	Apply	Spine.Attachment	System.Object	TypeAnalysisContext	20	10	1	0	Move:field Attachment	[v150 @ X24_v5 (Spine.Attachment)+20]
base has no type, from Add of the field Single[] and Immediate	spine-unity	Spine.DeformTimeline	Apply	<untyped>			0	0	0	0	Add	[v240 @ X11_v15+v804 @ X8_v51 (System.Int32)*4]
base has no type, from Add of the field Single[] and Immediate	spine-unity	Spine.DeformTimeline	Apply	<untyped>			0	0	0	0	Add	[v240 @ X11_v15+v804 @ X8_v51 (System.Int32)*4]
base has no type, from Add of ArrayAccess and Immediate	spine-unity	Spine.DeformTimeline	Apply	<untyped>			0	0	0	0	Add	[v241 @ X11_v8+v806 @ X8_v22 (System.Int32)*4]
base has no type, from Add of the field Single[] and Immediate	spine-unity	Spine.DeformTimeline	Apply	<untyped>			0	0	0	0	Add	[v685 @ X10_v9+v806 @ X8_v22 (System.Int32)*4]
base has no type, from Add of the field Single[] and Immediate	spine-unity	Spine.DeformTimeline	Apply	<untyped>			0	0	0	0	Add	[v685 @ X10_v9+v806 @ X8_v22 (System.Int32)*4]
past the last field of the base type	spine-unity	Spine.DeformTimeline	Apply	Spine.Attachment	System.Object	TypeAnalysisContext	28	10	1	0	Move:field Attachment	[v150 @ X24_v5 (Spine.Attachment)+28]
base has no type, from Add of [Attachment + 0x28] and Immediate	spine-unity	Spine.DeformTimeline	Apply	<untyped>			0	0	0	0	Add	[v79 @ X14_v12+v807 @ X8_v72 (System.Int32)*4]
base has no type, from Add of the field Single[] and Immediate	spine-unity	Spine.DeformTimeline	Apply	<untyped>			0	0	0	0	Add	[v201 @ X12_v22+v807 @ X8_v72 (System.Int32)*4]
past the last field of the base type	spine-unity	Spine.DeformTimeline	Apply	Spine.Attachment	System.Object	TypeAnalysisContext	28	10	1	0	Move:field Attachment	[v150 @ X24_v5 (Spine.Attachment)+28]
base has no type, from Add of ArrayAccess and Immediate	spine-unity	Spine.DeformTimeline	Apply	<untyped>			0	0	0	0	Add	[v202 @ X12_v13+v808 @ X8_v40 (System.Int32)*4]
base has no type, from Add of [Attachment + 0x28] and Immediate	spine-unity	Spine.DeformTimeline	Apply	<untyped>			0	0	0	0	Add	[v222 @ X13_v9+v808 @ X8_v40 (System.Int32)*4]
base has no type, from Add of the field Single[] and Immediate	spine-unity	Spine.DeformTimeline	Apply	<untyped>			0	0	0	0	Add	[v243 @ X11_v13+v808 @ X8_v40 (System.Int32)*4]
past the last field of the base type	spine-unity	Spine.DeformTimeline	Apply	Spine.Attachment	System.Object	TypeAnalysisContext	28	10	1	0	Move:field Attachment	[v150 @ X24_v5 (Spine.Attachment)+28]
base has no type, from Add of [Attachment + 0x28] and Immediate	spine-unity	Spine.DeformTimeline	Apply	<untyped>			0	0	0	0	Add	[v203 @ X12_v24+v809 @ X8_v86 (System.Int32)*4]
value type base	spine-unity	SharpJson.Lexer	NextToken	System.Int32	System.ValueType	TypeAnalysisContext	0	0	1	0	Add	[v394 @ X13_v2 (System.Int32)+v422 @ X8_v43 (System.Int32)]
past the last field of the base type	spine-unity	Spine.DeformTimeline	Apply	Spine.Attachment	System.Object	TypeAnalysisContext	20	10	1	0	Move:field Attachment	[v150 @ X24_v5 (Spine.Attachment)+20]
past the last field of the base type	spine-unity	Spine.DeformTimeline	Apply	Spine.Attachment	System.Object	TypeAnalysisContext	20	10	1	0	Move:field Attachment	[v150 @ X24_v5 (Spine.Attachment)+20]
base has no type, from Add of ArrayAccess and Immediate	spine-unity	Spine.DeformTimeline	Apply	<untyped>			0	0	0	0	Add	[v690 @ X10_v12+v813 @ X8_v29 (System.Int32)*4]
past the last field of the base type	spine-unity	Spine.DeformTimeline	Apply	Spine.Attachment	System.Object	TypeAnalysisContext	28	10	1	0	Move:field Attachment	[v150 @ X24_v5 (Spine.Attachment)+28]
base has no type, from Add of [Attachment + 0x28] and Immediate	spine-unity	Spine.DeformTimeline	Apply	<untyped>			0	0	0	0	Add	[v226 @ X13_v17+v814 @ X8_v62 (System.Int32)*4]
base has no type, from Add of the field Single[] and Immediate	spine-unity	Spine.DeformTimeline	Apply	<untyped>			0	0	0	0	Add	[v206 @ X12_v19+v814 @ X8_v62 (System.Int32)*4]
past the last field of the base type	spine-unity	Spine.DeformTimeline	Apply	Spine.Attachment	System.Object	TypeAnalysisContext	28	10	1	0	Move:field Attachment	[v150 @ X24_v5 (Spine.Attachment)+28]
base has no type, from Add of ArrayAccess and Immediate	spine-unity	Spine.DeformTimeline	Apply	<untyped>			0	0	0	0	Add	[v207 @ X12_v10+v815 @ X8_v33 (System.Int32)*4]
base has no type, from Add of [Attachment + 0x28] and Immediate	spine-unity	Spine.DeformTimeline	Apply	<untyped>			0	0	0	0	Add	[v227 @ X13_v8+v815 @ X8_v33 (System.Int32)*4]
base has no type, from Add of the field Single[] and Immediate	spine-unity	Spine.DeformTimeline	Apply	<untyped>			0	0	0	0	Add	[v248 @ X11_v11+v815 @ X8_v33 (System.Int32)*4]
past the last field of the base type	spine-unity	Spine.DeformTimeline	Apply	Spine.Attachment	System.Object	TypeAnalysisContext	28	10	1	0	Move:field Attachment	[v150 @ X24_v5 (Spine.Attachment)+28]
base has no type, from Add of [Attachment + 0x28] and Immediate	spine-unity	Spine.DeformTimeline	Apply	<untyped>			0	0	0	0	Add	[v228 @ X13_v13+v816 @ X8_v55 (System.Int32)*4]
base has no type, from Add of [Attachment + 0x28] and Immediate	spine-unity	Spine.DeformTimeline	Apply	<untyped>			0	0	0	0	Add	[v228 @ X13_v13+v816 @ X8_v55 (System.Int32)*4]
past the last field of the base type	spine-unity	Spine.DeformTimeline	Apply	Spine.Attachment	System.Object	TypeAnalysisContext	28	10	1	0	Move:field Attachment	[v150 @ X24_v5 (Spine.Attachment)+28]
base has no type, from Add of ArrayAccess and Immediate	spine-unity	Spine.DeformTimeline	Apply	<untyped>			0	0	0	0	Add	[v250 @ X11_v9+v817 @ X8_v26 (System.Int32)*4]
base has no type, from Add of [Attachment + 0x28] and Immediate	spine-unity	Spine.DeformTimeline	Apply	<untyped>			0	0	0	0	Add	[v695 @ X10_v11+v817 @ X8_v26 (System.Int32)*4]
base has no type, from Add of [Attachment + 0x28] and Immediate	spine-unity	Spine.DeformTimeline	Apply	<untyped>			0	0	0	0	Add	[v695 @ X10_v11+v817 @ X8_v26 (System.Int32)*4]
value type base	spine-unity	SharpJson.JsonDecoder	ParseValue	System.Int32	System.ValueType	TypeAnalysisContext	0	0	1	0	Add	[v77 @ X9_v2 (System.Int32)+v45 @ X8_v3 (System.Int32)]
Il2CppClass.interfaceOffsets	spine-unity	Spine.ExposedList`1	AddEnumerable	Il2CppClass<System.Collections.Generic.IEnumerable`1<T>>		RuntimeClassTypeAnalysisContext	B0	0	0	0	Move:memory	[v59 @ X8_v19 (Il2CppClass<System.Collections.Generic.IEnumerable`1<T>>)+B0]
Il2CppClass.interfaceOffsets	spine-unity	Spine.ExposedList`1	AddEnumerable	Il2CppClass<System.Collections.IEnumerator>		RuntimeClassTypeAnalysisContext	B0	0	0	0	Move:memory	[v554 @ X8_v29 (Il2CppClass<System.Collections.IEnumerator>)+B0]
Il2CppClass.interface_offsets_count	spine-unity	Spine.ExposedList`1	AddEnumerable	Il2CppClass<System.Collections.IEnumerator>		RuntimeClassTypeAnalysisContext	12E	0	0	0	Move:memory	[v454 @ X8_v5 (Il2CppClass<System.Collections.IEnumerator>)+12E]
Il2CppClass.interface_offsets_count	spine-unity	Spine.ExposedList`1	AddEnumerable	Il2CppClass<System.Collections.IEnumerator>		RuntimeClassTypeAnalysisContext	12E	0	0	0	Move:memory	[v454 @ X8_v5 (Il2CppClass<System.Collections.IEnumerator>)+12E]
Il2CppClass.interfaceOffsets	spine-unity	Spine.ExposedList`1	AddEnumerable	Il2CppClass<System.Collections.IEnumerator>		RuntimeClassTypeAnalysisContext	B0	0	0	0	Move:memory	[v454 @ X8_v5 (Il2CppClass<System.Collections.IEnumerator>)+B0]
