value type base	spine-unity	SharpJson.Lexer	ParseString	System.Int32	System.ValueType	TypeAnalysisContext	0	0	1	0	Add	MISSING_METADATA:inside-the-layout-between-fields	LAYOUT_KNOWN	1	10	NESTED:m_value	VALUE_RELATIVE	UNKNOWN:OPCODE:Add:Immediate+Immediate	NOT_A_FIELD_ACCESS	-	ShiftLeft[1]:LocalVariable,0x2	[v127 @ X24_v4 (System.Int32)+v495 @ X9_v12 (System.Int32)]
base has no type, from Add of an untyped local and Immediate	spine-unity	Spine.ExposedList`1	.ctor	<untyped>			FFFFFFFFFFFFFFF8	0	0	0	Add	UNKNOWN:add-of-MemoryOperand	NO_BASE_TYPE	0	0	-	NOT_APPLICABLE	UNKNOWN:MERGED	NO_OWNER	-	CheckEqual[1]:LocalVariable,RuntimeClassTypeAnalysisContext	[v137 @ X10_v5-8]
past the last field of the base type	spine-unity	Spine.MeshAttachment	Copy	System.Array	System.Object	TypeAnalysisContext	18	0	0	0	Move:field Single[]	NO_KNOWN_LAYOUT:type-has-no-instance-fields	NO_INSTANCE_FIELDS	0	0	BEYOND_LAYOUT	CLASS_OBJECT_RELATIVE	INSTANCE_FIELD	SEARCH_EMPTY	-	CallVoid[5]:MethodAnalysisContext,FieldReference,0x0,LocalVariable,0x0	[v127 @ X0_v9 (System.Array)+18]
past the last field of the base type	spine-unity	Spine.MeshAttachment	Copy	System.Array	System.Object	TypeAnalysisContext	18	0	0	0	Move:field Single[]	NO_KNOWN_LAYOUT:type-has-no-instance-fields	NO_INSTANCE_FIELDS	0	0	BEYOND_LAYOUT	CLASS_OBJECT_RELATIVE	INSTANCE_FIELD	SEARCH_EMPTY	-	CallVoid[5]:MethodAnalysisContext,FieldReference,0x0,LocalVariable,0x0	[v128 @ X0_v12 (System.Array)+18]
past the last field of the base type	spine-unity	Spine.MeshAttachment	Copy	System.Array	System.Object	TypeAnalysisContext	18	0	0	0	Move:field Int32[]	NO_KNOWN_LAYOUT:type-has-no-instance-fields	NO_INSTANCE_FIELDS	0	0	BEYOND_LAYOUT	CLASS_OBJECT_RELATIVE	INSTANCE_FIELD	SEARCH_EMPTY	-	CallVoid[5]:MethodAnalysisContext,FieldReference,0x0,LocalVariable,0x0	[v129 @ X0_v15 (System.Array)+18]
past the last field of the base type	spine-unity	Spine.MeshAttachment	Copy	System.Array	System.Object	TypeAnalysisContext	18	0	0	0	Move:field Int32[]	NO_KNOWN_LAYOUT:type-has-no-instance-fields	NO_INSTANCE_FIELDS	0	0	BEYOND_LAYOUT	CLASS_OBJECT_RELATIVE	INSTANCE_FIELD	SEARCH_EMPTY	-	CallVoid[5]:MethodAnalysisContext,FieldReference,0x0,LocalVariable,0x0	[v130 @ X0_v20 (System.Array)+18]
past the last field of the base type	spine-unity	Spine.DeformTimeline	Apply	Spine.Attachment	System.Object	TypeAnalysisContext	38	10	1	0	Move:field Attachment	PAST_LAST_FIELD:class	LAYOUT_KNOWN	1	10	BEYOND_LAYOUT	CLASS_OBJECT_RELATIVE	UNKNOWN:MERGED	SEARCH_EMPTY	-	CheckEqual[1]:LocalVariable,FieldReference	[v150 @ X24_v5 (Spine.Attachment)+38]
past the last field of the base type	spine-unity	Spine.DeformTimeline	Apply	Spine.Attachment	System.Object	TypeAnalysisContext	20	10	1	0	Move:field Attachment	PAST_LAST_FIELD:class	LAYOUT_KNOWN	1	10	BEYOND_LAYOUT	CLASS_OBJECT_RELATIVE	UNKNOWN:MERGED	SEARCH_EMPTY	-	CheckEqual[1]:LocalVariable,0x0	[v150 @ X24_v5 (Spine.Attachment)+20]
base has no type, from Add of the field Single[] and Immediate	spine-unity	Spine.DeformTimeline	Apply	<untyped>			0	0	0	0	Add	UNKNOWN:add-of-FieldReference	NO_BASE_TYPE	0	0	-	NOT_APPLICABLE	INSTANCE_FIELD	NO_OWNER	-	Add[1]:LocalVariable,LocalVariable	[v234 @ X11_v22+v793 @ X8_v75 (System.Int32)*4]
past the last field of the base type	spine-unity	Spine.DeformTimeline	Apply	Spine.Attachment	System.Object	TypeAnalysisContext	20	10	1	0	Move:field Attachment	PAST_LAST_FIELD:class	LAYOUT_KNOWN	1	10	BEYOND_LAYOUT	CLASS_OBJECT_RELATIVE	UNKNOWN:MERGED	SEARCH_EMPTY	-	CheckEqual[1]:LocalVariable,0x0	[v150 @ X24_v5 (Spine.Attachment)+20]
